projectid,simulationid,vColumn,vRow,vLocationID,vlat,vlon,vNUTSID,vSTATE_ID,vSTATE_NAME
60778,1,438,213,60778,53.0972803,12.26748632,DE40F,DE4,Brandenburg
60779,1,438,217,60779,53.0613959,12.26476698,DE40F,DE4,Brandenburg
60780,1,438,220,60780,53.03448239,12.26273127,DE40F,DE4,Brandenburg
60781,1,438,221,60781,53.02551118,12.26205343,DE40F,DE4,Brandenburg
60782,1,440,213,60782,53.09645729,12.29729388,DE40F,DE4,Brandenburg
60783,1,440,207,60783,53.1502817,12.30142094,DE40F,DE4,Brandenburg
60784,1,438,222,60784,53.01653995,12.26137594,DE40F,DE4,Brandenburg
60785,1,438,223,60785,53.00756871,12.26069882,DE40F,DE4,Brandenburg
60786,1,438,224,60786,52.99859744,12.26002206,DE40F,DE4,Brandenburg
60787,1,438,225,60787,52.98962615,12.25934566,DE40F,DE4,Brandenburg
60788,1,438,226,60788,52.98065485,12.25866961,DE40F,DE4,Brandenburg
60789,1,422,207,60789,53.15743422,12.03276725,DE40F,DE4,Brandenburg
60790,1,422,208,60790,53.14846122,12.03213431,DE40F,DE4,Brandenburg
60791,1,422,209,60791,53.1394882,12.0315017,DE40F,DE4,Brandenburg
60792,1,422,210,60792,53.13051515,12.03086944,DE40F,DE4,Brandenburg
60793,1,422,211,60793,53.12154209,12.03023751,DE40F,DE4,Brandenburg
60794,1,422,212,60794,53.11256901,12.02960591,DE40F,DE4,Brandenburg
60795,1,422,213,60795,53.10359591,12.02897466,DE40F,DE4,Brandenburg
60796,1,440,206,60796,53.15925237,12.30211007,DE40F,DE4,Brandenburg
60797,1,440,221,60797,53.0246903,12.29181165,DE40F,DE4,Brandenburg
60798,1,438,204,60798,53.17801905,12.27362612,DE40F,DE4,Brandenburg
60799,1,440,222,60799,53.01571934,12.29112802,DE40F,DE4,Brandenburg
60800,1,440,224,60800,52.99777736,12.28976184,DE40F,DE4,Brandenburg
60801,1,438,206,60801,53.16007725,12.27225917,DE40F,DE4,Brandenburg
60802,1,438,207,60802,53.15110631,12.27157624,DE40F,DE4,Brandenburg
60803,1,438,208,60803,53.14213536,12.27089368,DE40F,DE4,Brandenburg
60804,1,431,197,60804,53.24365126,12.17373648,DE40F,DE4,Brandenburg
60805,1,431,199,60805,53.22570789,12.17240803,DE40F,DE4,Brandenburg
60806,1,431,200,60806,53.21673618,12.17174433,DE40F,DE4,Brandenburg
60807,1,431,201,60807,53.20776444,12.171081,DE40F,DE4,Brandenburg
60808,1,431,202,60808,53.19879269,12.17041801,DE40F,DE4,Brandenburg
60809,1,431,203,60809,53.18982091,12.16975538,DE40F,DE4,Brandenburg
60810,1,431,204,60810,53.18084912,12.1690931,DE40F,DE4,Brandenburg
60811,1,394,208,60811,53.15838022,11.61410122,DE40F,DE4,Brandenburg
60812,1,394,207,60812,53.16735644,11.61464718,DE40F,DE4,Brandenburg
60813,1,386,213,60813,53.11605933,11.49201838,DE40F,DE4,Brandenburg
60814,1,386,212,60814,53.12503647,11.49253806,DE40F,DE4,Brandenburg
60815,1,440,227,60815,52.97086423,12.28771529,DE40F,DE4,Brandenburg
60816,1,440,226,60816,52.97983529,12.28839711,DE40F,DE4,Brandenburg
60817,1,405,220,60817,53.04695672,11.77142008,DE40F,DE4,Brandenburg
60818,1,405,223,60818,53.02003092,11.76969258,DE40F,DE4,Brandenburg
60819,1,426,233,60819,52.92260575,12.07581007,DE40F,DE4,Brandenburg
60820,1,419,227,60820,52.97909646,11.97557111,DE40F,DE4,Brandenburg
60821,1,419,228,60821,52.97012272,11.97495409,DE40F,DE4,Brandenburg
60822,1,419,232,60822,52.93422755,11.97248932,DE40F,DE4,Brandenburg
60823,1,419,233,60823,52.92525371,11.97187394,DE40F,DE4,Brandenburg
60824,1,419,235,60824,52.90730598,11.97064417,DE40F,DE4,Brandenburg
60825,1,440,225,60825,52.98880633,12.28907929,DE40F,DE4,Brandenburg
60826,1,440,223,60826,53.00674836,12.29044474,DE40F,DE4,Brandenburg
60827,1,441,227,60827,52.97045181,12.30257543,DE40F,DE4,Brandenburg
60828,1,426,218,60828,53.05719848,12.08539791,DE40F,DE4,Brandenburg
60829,1,441,225,60829,52.98839364,12.30394557,DE40F,DE4,Brandenburg
60830,1,420,201,60830,53.21203069,12.00667735,DE40F,DE4,Brandenburg
